"","X","Nombre","Marca","Peso","valoraciones","Precio"
"1",1,"
                
                    
                    
                

                
                    
                    
                        ASUS R540MA-GQ757 - Portátil de 15.6"" HD (Intel Celeron N4000, 4GB RAM, 256GB SSD, Intel HD Graphics, sin sistema operativo) Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","ASUS",2.3,138,199
"2",2,"
                
                    
                    
                

                
                    
                    
                        Lenovo S145-15AST - Ordenador portátil 15.6"" FullHD (AMD A6-9225, 8GB RAM, 256GB SSD, AMD Radeon Graphics, sin sistema operativo) Gris- Teclado QWERTY español
                    
                

                
                    
                    
                
            ","Lenovo",1.85,496,279
"3",3,"
                
                    
                    
                

                
                    
                    
                        HP 15s-fq1075ns - Ordenador portátil de 15.6"" HD (Intel Core i3-1005G1, 8 GB RAM, 256 GB SSD, gráficos Intel UHD, sin Sistema operativo) gris - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","HP",1.84,28,449.99
"4",4,"
                
                    
                    
                

                
                    
                    
                        ASUS ZenBook 14 UM431DA-AM022 - Portátil de 14"" FullHD (Ryzen 7 3700U, 16GB RAM, 512GB SSD, AMD Radeon RX Vega 10, Endless) Metal Azul Utopia - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","ASUS",2.22,99,699.99
"5",5,"
                
                    
                    
                

                
                    
                    
                        Huawei Matebook D15 - Ordenador Portátil de 15.6'' FullHD (AMD Ryzen 5 3500u, Multi-Screen Collaboration, 8GB RAM, 256GB SSD. Windows 10 Home), Mystic Silver, Teclado Qwerty Español
                    
                

                
                    
                    
                
            ","HUAWEI",2.29,40,599
"6",6,"
                
                    
                    
                

                
                    
                    
                        CHUWI Notebook Lapbook Pro Chrome OS Laptop Intel Gemini-Lake N4100 Windows10 14.1 Pulgadas Pantalla FHD 1920 * 1080 8GB RAM 256GB ROM hasta 2,2 GHz Quad Core 64 bits WiFi
                    
                

                
                    
                    
                
            ","CHUWI",1.5,153,379
"7",7,"
                
                    
                    
                

                
                    
                    
                        Microsoft Surface Laptop 3 - Ordenador portátil de 13.5"" táctil (Intel Core i5-1035G7, 8GB RAM, 128GB SSD, Intel Graphics, Windows 10) Plata - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","Microsoft",2.4,13,1091
"8",8,"
                
                    
                    
                

                
                    
                    
                        Lenovo S145-15AST - Ordenador portátil 15.6"" FullHD (AMD A9-9425, 8GB RAM, 512GB SSD, AMD Radeon Graphics, Windows 10) gris- Teclado QWERTY español
                    
                

                
                    
                    
                
            ","Lenovo",1.85,99,468.94
"9",9,"
                
                    
                    
                

                
                    
                    
                        HP Stream 14-ds0000ns - Ordenador portátil de 14"" HD (AMD A4-9120e, 4GB RAM, 64GB eMMC, AMD Graphics, Windows 10), Color Blanco - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","HP",2,155,329.99
"10",10,"
                
                    
                    
                

                
                    
                    
                        PC Convertible Ordenador Portátil 2-en-1 - Winnovo VocBook 13.3 Pulgadas 2in1 Laptop FHD Pantalla Táctil Intel Windows 10 Notebook 4GB RAM + 64GB ROM WiFi HDMI SSD (Plata)
                    
                

                
                    
                    
                
            ","Winnovo",1.45,17,319.99
"11",11,"
                
                    
                    
                

                
                    
                    
                        HP 14-dk0002ns - Ordenador portátil de 14"" FullHD (AMD Ryzen 5-3500U, 8GB RAM, 512GB SSD, AMD Radeon Vega 8,  Windows 10) Color Plata - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","HP",1.47,321,599.99
"12",12,"
                
                    
                    
                

                
                    
                    
                        HP Chromebook 11-v051na (Y3W06EA) 11.6"" HD Laptop Intel Celeron N3060, 4 GB de RAM, 16 GB eMMC, sistema operativo cromado, color gris ceniza
                    
                

                
                    
                    
                
            ","HP",1.2,87.9540229885057,272.22
"13",13,"
                
                    
                    
                

                
                    
                    
                        Lenovo ideapad C340-14IML - Portátil convertíble 14"" FullHD (Intel Core i3-10110U, 8GB RAM, 512GB SSD, Intel UHD Graphics, Windows10) Gris - Teclado QWERTY español
                    
                

                
                    
                    
                
            ","Lenovo",2.22,25,646.99
"14",14,"
                
                    
                    
                

                
                    
                    
                        Lenovo ideapad 330-15ARR - Ordenador Portátil 15.6"" HD (AMD Ryzen3, 8GB RAM, 256GB SSD, AMD Radeon Graphics, Windows 10 Home) Gris - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","Lenovo",2.2,180,518.99
"15",15,"
                
                    
                    
                

                
                    
                    
                        Primux PTIOXMC-14N335032G, Portátil Minecraft, Intel HD Graphics 500, Windows 10 Home
                    
                

                
                    
                    
                
            ","Primux",1.8,42,229
"16",16,"
                
                    
                    
                

                
                    
                    
                        PRIXTON Flex Pro - Ordenador Portátil con Pantalla Táctil de 11'6 Pulgadas, Procesador Intel Apollo Lake, Sistema Operativo Windows 10, 4GB RAM / 64GB, Teclado en Español
                    
                

                
                    
                    
                
            ","PRIXTON",1.2,60,648.199365079365
"17",17,"
                
                    
                    
                

                
                    
                    
                        ASUS ROG Strix G531GT-BQ165T - Ordenador portátil Gaming de 15.6"" FullHD (Intel Core i7-9750H, 16 GB RAM, 512 GB SSD, GeForce GTX 1650-4GB, Windows 10 Home) negro - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","ASUS",2,22,648.199365079365
"18",18,"
                
                    
                    
                

                
                    
                    
                        Lenovo Yoga 530-14ARR - Portátil táctil Convertible de 14"" HD (AMD Ryzen3 2200U, 4GB RAM, 128GB SSD, Windows 10) Negro - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","Lenovo",1.67,266,599.99
"19",19,"
                
                    
                    
                

                
                    
                    
                        HP Pavilion x360 - 14-dh1011ns - Ordenador portátil de 14"" FullHD (Intel Core i3-10110U, 4GB de RAM, 128 GB SSD, Intel UHD Graphics, Windows 10) Plata ceniza - teclado QWERTY Español
                    
                

                
                    
                    
                
            ","HP",2.18,12,499.99
"20",20,"
                
                    
                    
                

                
                    
                    
                        Acer Predator Helios 300 - Ordenador Portátil Gaming de 15.6"" FullHD (Intel Core i7-9750H, 16GB RAM, 512GB SSD, NVIDIA GeForce GTX 1660Ti 6GB, Sin sistema operativo) negro - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","Acer",4.24,30,1149.99
"21",21,"
                
                    
                    
                

                
                    
                    
                        Ordenador Portátil 15.6 Pulgadas IPS, Notebook Intel i5-5257U, 8GB RAM, 256GB SSD, Windows 10, Laptop con Desbloqueo por Huella Digital, Teclado Retroiluminado, WiFi de Doble Banda 2.4G/5G
                    
                

                
                    
                    
                
            ","KUU",1.8,87.9540229885057,469.99
"22",22,"
                
                    
                    
                

                
                    
                    
                        Ordenador Portátil 14.1 Pulgadas, Notebook Intel Celeron 3867U, 16GB RAM, 256GB SSD, Windows 10, Laptop con Teclado Retroiluminado, Oclusión física de la cámara, WiFi de Doble Banda 2.4G/5G
                    
                

                
                    
                    
                
            ","LHMZNIY",1.5,4,648.199365079365
"23",23,"
                
                    
                    
                

                
                    
                    
                        Ordenador portátil Windows 10, Notebook 15.6 Pulgadas, Intel Celeron J3455 CPU de Cuatro núcleos, 1920x1080p HD Pantalla, Bluetooth 4.0 Laptop con Puerto RJ45 (8GB RAM 128GB SSD)
                    
                

                
                    
                    
                
            ","LHMZNIY",1.76,190,648.199365079365
"24",24,"
                
                    
                    
                

                
                    
                    
                        CHUWI HeroBook 14.1' Ordenador portatil hasta 2.0 GHz, Ultrabook Intel Atom X5-E8000,1920*1080p,Windows 10, 4G RAM 64G ROM, HD Video Port, M.2 Slot, WiFi, USB, RJ45,38Wh
                    
                

                
                    
                    
                
            ","CHUWI",1.46,334,229
"25",25,"
                
                    
                    
                

                
                    
                    
                        Dell Latitude E7250 Intel Core i5-5300U X2 2.3GHz 8GB 256GB SSD 12.5'' Win8.1Pro
                    
                

                
                    
                    
                
            ","Dell",1.25,1,398.08
"26",26,"
                
                    
                    
                

                
                    
                    
                        Dell VOSTRO 3590 - Portail de 15,6"" FullHD( Intel Core i5-10210U, 8GB RAM, 1TB HDD, WindowsPro) color Negro - Teclado QWERTY español
                    
                

                
                    
                    
                
            ","Dell",1.5,2,599.99
"27",27,"
                
                    
                    
                

                
                    
                    
                        MEDION E4251 - Ordenador portátil de 14"" FHD ( Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Intel UHD Graphics, Windows 10) Color Negro - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","MEDION",1.5,9,264.48
"28",28,"
                
                    
                    
                

                
                    
                    
                        ASUS K543UA-GQ2534 - Portátil de 15.6"" HD (Intel Core i3-7020U, 8GB RAM, 256 GB SSD, Intel Graphics, sin sistema operativo) Gris Estrella - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","ASUS",2.38,28,648.199365079365
"29",29,"
                
                    
                    
                

                
                    
                    
                        TALIUS - TALIUS - Laptop 14.1"" 1401 Intel N3450 Quad Core, Ram 4Gb, 32Gb, Windows 10
                    
                

                
                    
                    
                
            ","TALIUS, TECH 4 U",1.5,1,289.33
"30",30,"
                
                    
                    
                

                
                    
                    
                        MSI PS42 Modern 8RA-280XES - Ordenador portátil de 14"" FHD (Intel i7-8565U, 16 GB RAM, 512GB SSD, Nvidia GeForce MX250-2GB, sin sistema operativo) plata - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","MSI",1.19,96,849.99
"31",31,"
                
                    
                    
                

                
                    
                    
                        Fancy Cherry® Nueva 2017 HD 10 Pulgadas Mini Laptop Notebook Netbook Tablet Computer 1 G DDR3 través WM8880 CPU Dual Core Android de Pantalla Cámara WiFi Teclado USB HDMI Netbook (Netbook 8G-Plata)
                    
                

                
                    
                    
                
            ","FANCY CHERRY",1.24,32,105
"32",32,"
                
                    
                    
                

                
                    
                    
                        Lenovo S145-15AST - Ordenador portátil 15.6"" HD (AMD A6-9225, 4GB RAM, 128GB SSD, AMD Radeon Graphics, sin sistema operativo) Gris- Teclado QWERTY español
                    
                

                
                    
                    
                
            ","Lenovo",1.85,37,648.199365079365
"33",33,"
                
                    
                    
                

                
                    
                    
                        Toshiba Satellite Pro R50-C-1E8 - Ordenador portátil de 15.6"" HD (Intel Celeron 3855U, 4 GB, 128GB SSD, Intel HD Graphics 520, Windows 10 Pro) - Teclado QWERTY Español, color Negro grafito
                    
                

                
                    
                    
                
            ","Toshiba",2.1,121,648.199365079365
"34",34,"
                
                    
                    
                

                
                    
                    
                        Nuevo 2013 4 GB 7 pulgadas Mini Laptop Netbook. Android 4.0 (última Ice Cream Sandwich OS). Ahora con cámara web para Skype y Reino Unido cargador. Compatible con BBC iPlayer/Youtube/Facebook. rosso
                    
                

                
                    
                    
                
            ","EPC",2.06285714285714,338,76
"35",35,"
                
                    
                    
                

                
                    
                    
                        Ordenador Portátil 14 Pulgadas -Winnovo K146 PC Portátil Intel Celeron Quad-Core 1920x1080 FHD IPS Pantalla 4GB RAM 64GB ROM Windows 10 (Gris)
                    
                

                
                    
                    
                
            ","Winnovo",1.5,87.9540229885057,239.99
"36",36,"
                
                    
                    
                

                
                    
                    
                        Huawei Matebook 13 - Ordenador portátil Ultrafino 13"" 2K (Intel Core i5-8250U, 8GB RAM, 512GB SSD, Nvidia GeForce MX250, Windows 10 Home) Mystic Silver - Teclado QWERTY Español, Plateado
                    
                

                
                    
                    
                
            ","HUAWEI",2.31,16,648.199365079365
"37",37,"
                
                    
                    
                

                
                    
                    
                        MSI Modern 14 A10RB-663XES - Ordenador portátil de 14"" FullHD (Intel Core i7-10510U, 16GB RAM, 512GB SSD, Nvidia MX250-2GB GDDR5, sin Sistema operativo) gris - teclado QWERTY Español
                    
                

                
                    
                    
                
            ","MSI",2.5,60,949
"38",38,"
                
                    
                    
                

                
                    
                    
                        Lenovo Legion Y540 - Ordenador portatil Gaming de 15.6"" Full HD (Intel Core i7-9750H, 16GB de RAM, 1TB HDD + 256GB SSD, Nvidia GTX1650-4GB + Gráfica Integrada, W10) Negro
                    
                

                
                    
                    
                
            ","Lenovo",2.3,64,1249
"39",39,"
                
                    
                    
                

                
                    
                    
                        HP 255 G6- Ordenador portátil de 15.6"" HD (AMD E2-9000e, 4 GB de RAM, 500GB HDD, AMD Raden R2, Sin sistema operativo) Negro- teclado QWERTY Español
                    
                

                
                    
                    
                
            ","HP",1.86,529,648.199365079365
"40",40,"
                
                    
                    
                

                
                    
                    
                        ALLDOCUBE KBook Lite Laptop, Ordenador portátil de 13.5 Pulgadas, Pantalla 3000x2000 IPS, Intel Apollo Lake N3350, 4GB RAM 128GB SSD, Windows10, Tipo-C, USB 3.0
                    
                

                
                    
                    
                
            ","ALLDOCUBE",1.6,8,299.99
"41",41,"
                
                    
                    
                

                
                    
                    
                        Acer Nitro 5 - Ordenador Portátil Gaming de 15.6"" FullHD (AMD Ryzen 5 3550H, 8GB RAM, 512GB SSD, AMD Radeon RX 560X, Linux) Negro - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","Acer",3.46,52,699.99
"42",42,"
                
                    
                    
                

                
                    
                    
                        Primux Ioxbook1402FI - Portátil 14"", Atom-Z8350, 2GB, 32GB,  Full HD, Windows 10
                    
                

                
                    
                    
                
            ","Primux",1.8,110,648.199365079365
"43",43,"
                
                    
                    
                

                
                    
                    
                        Acer Aspire 3 Ordenador portátil de 15.6"" HD (Intel Core i3-7020U, 4GB de RAM, 128GB SSD, UMA, Sin sistema operativo) Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","Acer",2.5,59,648.199365079365
"44",44,"
                
                    
                    
                

                
                    
                    
                        MSI GS63 Stealth 8RD-060ES - Ordenador portátil gaming 15.6"" FullHD 120Hz( Intel Core i7-8750H, 16GB RAM, 1TB HDD + 512GB SSD, Nvidia GTX 1050Ti-4GB, Windows 10) Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","MSI",1.89,1,1300
"45",45,"
                
                    
                    
                

                
                    
                    
                        PRIXTON Netbook Pro - Ordenador portatil / Ordenadores portatiles Pantalla 14,1"", Windows 10 Pro, Intel Apollo Lake N3350, RAM 4GB / ROM 64GB, Teclado en Español
                    
                

                
                    
                    
                
            ","PRIXTON",1.25,22,648.199365079365
"46",46,"
                
                    
                    
                

                
                    
                    
                        Lenovo Ideapad 720S-13IKBR - Ordenador Portátil ultrafino 13.3"" FullHD (Intel Core i5-8250U, 8GB RAM, 256GB SSD, Windows 10) Gris - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","Lenovo",1.14,39,998.98
"47",47,"
                
                    
                    
                

                
                    
                    
                        HP Pavilion 15-bc500ns - Ordenador portátil de 15.6"" FullHD (Intel Core i5-9300H, 8GB RAM, 1TB HDD + 128GB SSD, NVIDIA GeForce GTX 1050-3GB, FreeDOS) negro - teclado QWERTY Español
                    
                

                
                    
                    
                
            ","HP",3.02,59,648.199365079365
